,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
0,Males,Alabama,00-04 yrs,1999.0,0,150513,0.0,0,0.0
1,Females,Alabama,00-04 yrs,1999.0,0,144427,0.0,0,0.0
2,,Alabama,00-04 yrs,1999.0,0,294940,0.0,16,5.42
3,Males,Alabama,05-09 yrs,1999.0,0,161970,0.0,0,0.0
4,Females,Alabama,05-09 yrs,1999.0,0,153779,0.0,0,0.0
5,,Alabama,05-09 yrs,1999.0,0,315749,0.0,0,0.0
6,Males,Alabama,10-14 yrs,1999.0,0,163000,0.0,0,0.0
7,Females,Alabama,10-14 yrs,1999.0,0,154380,0.0,0,0.0
8,,Alabama,10-14 yrs,1999.0,0,317380,0.0,0,0.0
9,Males,Alabama,15-19 yrs,1999.0,30,166099,18.06,34,20.47
10,Females,Alabama,15-19 yrs,1999.0,0,161690,0.0,11,6.8
11,,Alabama,15-19 yrs,1999.0,S,327789,0.0,45,13.73
12,Males,Alabama,20-24 yrs,1999.0,48,151548,31.67,54,35.63
13,Females,Alabama,20-24 yrs,1999.0,0,154634,0.0,12,7.76
14,,Alabama,20-24 yrs,1999.0,S,306182,0.0,66,21.56
15,Males,Alabama,25-29 yrs,1999.0,34,151877,22.39,42,27.65
16,Females,Alabama,25-29 yrs,1999.0,11,155151,7.09,17,10.96
17,,Alabama,25-29 yrs,1999.0,45,307028,14.66,59,19.22
18,Males,Alabama,30-34 yrs,1999.0,19,148196,12.82,29,19.57
19,Females,Alabama,30-34 yrs,1999.0,0,153099,0.0,18,11.76
20,,Alabama,30-34 yrs,1999.0,S,301295,0.0,47,15.6
21,Males,Alabama,35-39 yrs,1999.0,22,167921,13.1,36,21.44
22,Females,Alabama,35-39 yrs,1999.0,13,175011,7.43,16,9.14
23,,Alabama,35-39 yrs,1999.0,35,342932,10.21,52,15.16
24,Males,Alabama,40-44 yrs,1999.0,23,167710,13.71,34,20.27
25,Females,Alabama,40-44 yrs,1999.0,0,176290,0.0,10,5.67
26,,Alabama,40-44 yrs,1999.0,S,344000,0.0,44,12.79
27,Males,Alabama,45-49 yrs,1999.0,0,150447,0.0,16,10.63
28,Females,Alabama,45-49 yrs,1999.0,0,159445,0.0,0,0.0
29,,Alabama,45-49 yrs,1999.0,10,309892,3.23,S,0.0
30,Males,Alabama,50-54 yrs,1999.0,0,133876,0.0,17,12.7
31,Females,Alabama,50-54 yrs,1999.0,0,141883,0.0,0,0.0
32,,Alabama,50-54 yrs,1999.0,13,275759,4.71,S,0.0
33,Males,Alabama,55-59 yrs,1999.0,10,105366,9.49,15,14.24
34,Females,Alabama,55-59 yrs,1999.0,0,115362,0.0,0,0.0
35,,Alabama,55-59 yrs,1999.0,S,220728,0.0,S,0.0
36,Males,Alabama,60-64 yrs,1999.0,0,88690,0.0,0,0.0
37,Females,Alabama,60-64 yrs,1999.0,0,101124,0.0,0,0.0
38,,Alabama,60-64 yrs,1999.0,0,189814,0.0,10,5.27
39,Males,Alabama,65-69 yrs,1999.0,0,75958,0.0,10,13.17
40,Females,Alabama,65-69 yrs,1999.0,0,91405,0.0,0,0.0
41,,Alabama,65-69 yrs,1999.0,0,167363,0.0,S,0.0
