,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate,Deaths_y
0,Males,Alabama,00-04 yrs,1999,0,150513,0,0
1,Females,Alabama,00-04 yrs,1999,0,144427,0,0
2,Males,Alabama,05-09 yrs,1999,0,161970,0,0
3,Females,Alabama,05-09 yrs,1999,0,153779,0,0
4,Males,Alabama,10-14 yrs,1999,0,163000,0,0
5,Females,Alabama,10-14 yrs,1999,0,154380,0,0
6,Males,Alabama,15-19 yrs,1999,24,166099,14.45,30
7,Females,Alabama,15-19 yrs,1999,0,161690,0,0
8,Males,Alabama,20-24 yrs,1999,37,151548,24.41,46
9,Females,Alabama,20-24 yrs,1999,0,154634,0,10
10,Males,Alabama,25-29 yrs,1999,25,151877,16.46,35
11,Females,Alabama,25-29 yrs,1999,0,155151,0,0
12,Males,Alabama,30-34 yrs,1999,24,148196,16.19,34
13,Females,Alabama,30-34 yrs,1999,0,153099,0,11
14,Males,Alabama,35-39 yrs,1999,32,167921,19.06,44
15,Females,Alabama,35-39 yrs,1999,0,175011,0,0
16,Males,Alabama,40-44 yrs,1999,35,167710,20.87,52
17,Females,Alabama,40-44 yrs,1999,12,176290,6.81,15
18,Males,Alabama,45-49 yrs,1999,30,150447,19.94,36
19,Females,Alabama,45-49 yrs,1999,0,159445,0,0
20,Males,Alabama,50-54 yrs,1999,29,133876,21.66,37
21,Females,Alabama,50-54 yrs,1999,0,141883,0,10
22,Males,Alabama,55-59 yrs,1999,22,105366,20.88,28
23,Females,Alabama,55-59 yrs,1999,0,115362,0,0
24,Males,Alabama,60-64 yrs,1999,26,88690,29.32,28
25,Females,Alabama,60-64 yrs,1999,0,101124,0,0
26,Males,Alabama,65-69 yrs,1999,21,75958,27.65,21
27,Females,Alabama,65-69 yrs,1999,0,91405,0,0
28,Males,Alabama,70-74 yrs,1999,26,63159,41.17,28
29,Females,Alabama,70-74 yrs,1999,0,85406,0,0
30,Males,Alabama,75-79 yrs,1999,24,46216,51.93,25
31,Females,Alabama,75-79 yrs,1999,0,71682,0,0
32,Males,Alabama,80-84 yrs,1999,0,26637,0,0
33,Females,Alabama,80-84 yrs,1999,0,50239,0,0
34,Males,Alabama,85+ yrs,1999,0,17701,0,0
35,Females,Alabama,85+ yrs,1999,0,48252,0,0
36,Males,Alaska,00-04 yrs,1999,0,24594,0,0
37,Females,Alaska,00-04 yrs,1999,0,23342,0,0
38,Males,Alaska,05-09 yrs,1999,0,28288,0,0
39,Females,Alaska,05-09 yrs,1999,0,26894,0,0
40,Males,Alaska,10-14 yrs,1999,0,28700,0,0
41,Females,Alaska,10-14 yrs,1999,0,27178,0,0
42,Males,Alaska,15-19 yrs,1999,0,26165,0,12
43,Females,Alaska,15-19 yrs,1999,0,23567,0,0
44,Males,Alaska,20-24 yrs,1999,0,20966,0,0
45,Females,Alaska,20-24 yrs,1999,0,18485,0,0
46,Males,Alaska,25-29 yrs,1999,0,21634,0,11
47,Females,Alaska,25-29 yrs,1999,0,20053,0,0
48,Males,Alaska,30-34 yrs,1999,0,25070,0,0
49,Females,Alaska,30-34 yrs,1999,0,23259,0,0
50,Males,Alaska,35-39 yrs,1999,0,29718,0,10
51,Females,Alaska,35-39 yrs,1999,0,28001,0,0
52,Males,Alaska,40-44 yrs,1999,0,30346,0,0
